Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-79.63,43.68,TORONTO INTL A,6158731,2025-07-21,2025,7,21,23.8,15.6,19.7,0,1.7,0,0,0,,36,42
-79.63,43.68,TORONTO INTL A,6158731,2025-07-22,2025,7,22,24.2,14.3,19.3,0,1.3,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-07-23,2025,7,23,27.6,15.9,21.8,0,3.8,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-07-24,2025,7,24,33.6,18.9,26.3,0,8.3,2.7,0,2.7,,32,55
-79.63,43.68,TORONTO INTL A,6158731,2025-07-25,2025,7,25,29.9,20.8,25.4,0,7.4,0,0,0,,33,35
-79.63,43.68,TORONTO INTL A,6158731,2025-07-26,2025,7,26,29.5,19.2,24.4,0,6.4,5.1,0,5.1,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-07-27,2025,7,27,32.3,22.3,27.3,0,9.3,0,0,0,,30,42
-79.63,43.68,TORONTO INTL A,6158731,2025-07-28,2025,7,28,33.4,19.8,26.6,0,8.6,0,0,0,,26,33
-79.63,43.68,TORONTO INTL A,6158731,2025-07-29,2025,7,29,32.8,21.8,27.3,0,9.3,0,0,0,,35,39
-79.63,43.68,TORONTO INTL A,6158731,2025-07-30,2025,7,30,29.9,18.7,24.3,0,6.3,0.3,0,0.3,,35,48
-79.63,43.68,TORONTO INTL A,6158731,2025-07-31,2025,7,31,24.1,16.8,20.5,0,2.5,4.1,0,4.1,,10,33
-79.63,43.68,TORONTO INTL A,6158731,2025-08-01,2025,8,1,24.8,15.1,20,0,2,0,0,0,,34,42
-79.63,43.68,TORONTO INTL A,6158731,2025-08-02,2025,8,2,27.1,14.1,20.6,0,2.6,0,0,0,,32,35
-79.63,43.68,TORONTO INTL A,6158731,2025-08-03,2025,8,3,29.3,15.6,22.5,0,4.5,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-04,2025,8,4,29.3,15.7,22.5,0,4.5,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-05,2025,8,5,28.4,18.7,23.6,0,5.6,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-06,2025,8,6,28.4,20.3,24.4,0,6.4,0,0,0,,15,33
-79.63,43.68,TORONTO INTL A,6158731,2025-08-07,2025,8,7,28.6,20.4,24.5,0,6.5,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-08,2025,8,8,29.7,20.7,25.2,0,7.2,0,0,0,,15,35
-79.63,43.68,TORONTO INTL A,6158731,2025-08-09,2025,8,9,32.3,21.4,26.9,0,8.9,0,0,0,,22,35
-79.63,43.68,TORONTO INTL A,6158731,2025-08-10,2025,8,10,32.8,20.6,26.7,0,8.7,0,0,0,,16,35
-79.63,43.68,TORONTO INTL A,6158731,2025-08-11,2025,8,11,32.7,21.8,27.3,0,9.3,0,0,0,,18,41
-79.63,43.68,TORONTO INTL A,6158731,2025-08-12,2025,8,12,34.7,22.2,28.5,0,10.5,8,0,8,,22,54
-79.63,43.68,TORONTO INTL A,6158731,2025-08-13,2025,8,13,30.9,19.9,25.4,0,7.4,6.3,0,6.3,,34,42
-79.63,43.68,TORONTO INTL A,6158731,2025-08-14,2025,8,14,27.6,18.5,23.1,0,5.1,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-15,2025,8,15,29.4,19.6,24.5,0,6.5,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-16,2025,8,16,31.1,19.5,25.3,0,7.3,0,0,0,,16,32
-79.63,43.68,TORONTO INTL A,6158731,2025-08-17,2025,8,17,27,16.9,22,0,4,27.9,0,27.9,,35,46
-79.63,43.68,TORONTO INTL A,6158731,2025-08-18,2025,8,18,21.5,13.1,17.3,0.7,0,0,0,0,,13,33
-79.63,43.68,TORONTO INTL A,6158731,2025-08-19,2025,8,19,21.9,16.5,19.2,0,1.2,15.4,0,15.4,,10,35
-79.63,43.68,TORONTO INTL A,6158731,2025-08-20,2025,8,20,21.1,17.6,19.4,0,1.4,0.3,0,0.3,,6,32
-79.63,43.68,TORONTO INTL A,6158731,2025-08-21,2025,8,21,23.6,15.4,19.5,0,1.5,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-22,2025,8,22,26.8,16.6,21.7,0,3.7,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-08-23,2025,8,23,26.3,17.4,21.9,0,3.9,0,0,0,,23,41
-79.63,43.68,TORONTO INTL A,6158731,2025-08-24,2025,8,24,25.6,14.9,20.3,0,2.3,1.5,0,1.5,,28,50
-79.63,43.68,TORONTO INTL A,6158731,2025-08-25,2025,8,25,21.2,12.9,17.1,0.9,0,0,0,0,,28,54
-79.63,43.68,TORONTO INTL A,6158731,2025-08-26,2025,8,26,21.5,11,16.3,1.7,0,1.9,0,1.9,,28,50
-79.63,43.68,TORONTO INTL A,6158731,2025-08-27,2025,8,27,23.5,10.5,17,1,0,0,0,0,,26,39
-79.63,43.68,TORONTO INTL A,6158731,2025-08-28,2025,8,28,18.7,11.2,15,3,0,5.4,0,5.4,,32,48
-79.63,43.68,TORONTO INTL A,6158731,2025-08-29,2025,8,29,18.1,9,13.6,4.4,0,0,0,0,,31,41
-79.63,43.68,TORONTO INTL A,6158731,2025-08-30,2025,8,30,22.2,7.8,15,3,0,0,0,0,,31,35
-79.63,43.68,TORONTO INTL A,6158731,2025-08-31,2025,8,31,22.8,10,16.4,1.6,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-01,2025,9,1,24.3,11.2,17.8,0.2,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-02,2025,9,2,25.2,13.1,19.2,0,1.2,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-03,2025,9,3,27.5,13.6,20.6,0,2.6,0,0,0,,18,42
-79.63,43.68,TORONTO INTL A,6158731,2025-09-04,2025,9,4,20.1,12,16.1,1.9,0,19.3,0,19.3,,32,42
-79.63,43.68,TORONTO INTL A,6158731,2025-09-05,2025,9,5,23.9,12.1,18,0,0,0,0,0,,24,67
-79.63,43.68,TORONTO INTL A,6158731,2025-09-06,2025,9,6,20.1,10.4,15.3,2.7,0,0,0,0,,24,42
-79.63,43.68,TORONTO INTL A,6158731,2025-09-07,2025,9,7,19.7,8.8,14.3,3.7,0,0,0,0,,25,46
-79.63,43.68,TORONTO INTL A,6158731,2025-09-08,2025,9,8,19.6,7.2,13.4,4.6,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-09,2025,9,9,22.3,8.4,15.4,2.6,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-10,2025,9,10,24.8,11.3,18.1,0,0.1,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-11,2025,9,11,25.8,14.2,20,0,2,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-12,2025,9,12,23,13.7,18.4,0,0.4,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-13,2025,9,13,25.7,16.7,21.2,0,3.2,0,0,0,,28,33
-79.63,43.68,TORONTO INTL A,6158731,2025-09-14,2025,9,14,26.3,14.4,20.4,0,2.4,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-15,2025,9,15,24.6,15,19.8,0,1.8,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-16,2025,9,16,25.8,12.9,19.4,0,1.4,0,0,0,,11,32
-79.63,43.68,TORONTO INTL A,6158731,2025-09-17,2025,9,17,25.7,12.4,19.1,0,1.1,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-18,2025,9,18,29.9,13.2,21.6,0,3.6,0,0,0,,34,41
-79.63,43.68,TORONTO INTL A,6158731,2025-09-19,2025,9,19,21.6,12.6,17.1,0.9,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-20,2025,9,20,18.7,10.5,14.6,3.4,0,0,0,0,,8,33
-79.63,43.68,TORONTO INTL A,6158731,2025-09-21,2025,9,21,24.9,11.4,18.2,0,0.2,22.8,0,22.8,,26,67
-79.63,43.68,TORONTO INTL A,6158731,2025-09-22,2025,9,22,24.1,17.6,20.9,0,2.9,12.1,0,12.1,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-23,2025,9,23,25.8,18.1,22,0,4,38.1,0,38.1,,33,45
-79.63,43.68,TORONTO INTL A,6158731,2025-09-24,2025,9,24,22.1,18.1,20.1,0,2.1,9.7,0,9.7,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-25,2025,9,25,21.6,16.6,19.1,0,1.1,3.9,0,3.9,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-26,2025,9,26,24.8,14,19.4,0,1.4,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-27,2025,9,27,25.8,15.5,20.7,0,2.7,0,0,0,,17,35
-79.63,43.68,TORONTO INTL A,6158731,2025-09-28,2025,9,28,24.4,13.4,18.9,0,0.9,0,0,0,,33,37
-79.63,43.68,TORONTO INTL A,6158731,2025-09-29,2025,9,29,25.5,10.8,18.2,0,0.2,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-09-30,2025,9,30,22.4,13.2,17.8,0.2,0,0,0,0,,6,33
-79.63,43.68,TORONTO INTL A,6158731,2025-10-01,2025,10,1,17.5,8.1,12.8,5.2,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-02,2025,10,2,18.8,9.5,14.2,3.8,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-03,2025,10,3,24.3,8.9,16.6,1.4,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-04,2025,10,4,26.9,15.1,21,0,3,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-05,2025,10,5,27.2,15.1,21.2,0,3.2,0,0,0,,16,32
-79.63,43.68,TORONTO INTL A,6158731,2025-10-06,2025,10,6,28.1,15.2,21.7,0,3.7,0,0,0,,24,41
-79.63,43.68,TORONTO INTL A,6158731,2025-10-07,2025,10,7,21.8,12.8,17.3,0.7,0,0.9,0,0.9,,33,45
-79.63,43.68,TORONTO INTL A,6158731,2025-10-08,2025,10,8,14.8,5.5,10.2,7.8,0,0,0,0,,33,52
-79.63,43.68,TORONTO INTL A,6158731,2025-10-09,2025,10,9,12.9,3.7,8.3,9.7,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-10,2025,10,10,17.5,3,10.3,7.7,0,3.3,0,3.3,,17,39
-79.63,43.68,TORONTO INTL A,6158731,2025-10-11,2025,10,11,18.3,11.1,14.7,3.3,0,0,0,0,,9,33
-79.63,43.68,TORONTO INTL A,6158731,2025-10-12,2025,10,12,18.4,9,13.7,4.3,0,0,0,0,,11,37
-79.63,43.68,TORONTO INTL A,6158731,2025-10-13,2025,10,13,18.1,8.9,13.5,4.5,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-14,2025,10,14,21.9,7.6,14.8,3.2,0,0,0,0,,34,37
-79.63,43.68,TORONTO INTL A,6158731,2025-10-15,2025,10,15,13.9,5.4,9.7,8.3,0,0,0,0,,35,39
-79.63,43.68,TORONTO INTL A,6158731,2025-10-16,2025,10,16,15.1,3.6,9.4,8.6,0,0,0,0,,36,33
-79.63,43.68,TORONTO INTL A,6158731,2025-10-17,2025,10,17,12.5,5.2,8.9,9.1,0,4.9,0,4.9,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-18,2025,10,18,21.6,11.9,16.8,1.2,0,0,0,0,,14,33
-79.63,43.68,TORONTO INTL A,6158731,2025-10-19,2025,10,19,21.9,12.5,17.2,0.8,0,7.4,0,7.4,,25,55
-79.63,43.68,TORONTO INTL A,6158731,2025-10-20,2025,10,20,16.1,5.9,11,7,0,2.2,0,2.2,,31,52
-79.63,43.68,TORONTO INTL A,6158731,2025-10-21,2025,10,21,16.4,4.8,10.6,7.4,0,0.7,0,0.7,,25,59
-79.63,43.68,TORONTO INTL A,6158731,2025-10-22,2025,10,22,11.4,5.6,8.5,9.5,0,0.7,0,0.7,,26,35
-79.63,43.68,TORONTO INTL A,6158731,2025-10-23,2025,10,23,13.4,5.5,9.5,8.5,0,0.5,0,0.5,,27,48
-79.63,43.68,TORONTO INTL A,6158731,2025-10-24,2025,10,24,12.4,2.6,7.5,10.5,0,0,0,0,,29,37
-79.63,43.68,TORONTO INTL A,6158731,2025-10-25,2025,10,25,11.8,2.4,7.1,10.9,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-26,2025,10,26,9.6,0,4.8,13.2,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-27,2025,10,27,9.6,1.2,5.4,12.6,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-28,2025,10,28,10.4,3.9,7.2,10.8,0,0,0,0,,6,37
-79.63,43.68,TORONTO INTL A,6158731,2025-10-29,2025,10,29,11.8,2.3,7.1,10.9,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-10-30,2025,10,30,8.8,5.1,7,11,0,12.3,0,12.3,,2,45
-79.63,43.68,TORONTO INTL A,6158731,2025-10-31,2025,10,31,9,3.3,6.2,11.8,0,1.5,0,1.5,,30,72
-79.63,43.68,TORONTO INTL A,6158731,2025-11-01,2025,11,1,9.9,1,5.5,12.5,0,0,0,0,,27,32
-79.63,43.68,TORONTO INTL A,6158731,2025-11-02,2025,11,2,10.2,-1.1,4.6,13.4,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-03,2025,11,3,11,3,7,11,0,0.7,0,0.7,,26,67
-79.63,43.68,TORONTO INTL A,6158731,2025-11-04,2025,11,4,14.1,1.7,7.9,10.1,0,0,0,0,,27,58
-79.63,43.68,TORONTO INTL A,6158731,2025-11-05,2025,11,5,12.7,4.3,8.5,9.5,0,0,0,0,,30,61
-79.63,43.68,TORONTO INTL A,6158731,2025-11-06,2025,11,6,6.9,0.3,3.6,14.4,0,0,0,0,,31,35
-79.63,43.68,TORONTO INTL A,6158731,2025-11-07,2025,11,7,10.9,3.7,7.3,10.7,0,3.3,0,3.3,,28,46
-79.63,43.68,TORONTO INTL A,6158731,2025-11-08,2025,11,8,8.1,1.1,4.6,13.4,0,0,0,0,,28,45
-79.63,43.68,TORONTO INTL A,6158731,2025-11-09,2025,11,9,1.7,-3.7,-1,19,0,0,9.8,8,1,1,46
-79.63,43.68,TORONTO INTL A,6158731,2025-11-10,2025,11,10,-2.6,-4.4,-3.5,21.5,0,0,1.6,1.2,5,35,41
-79.63,43.68,TORONTO INTL A,6158731,2025-11-11,2025,11,11,2.9,-4,-0.6,18.6,0,0.2,1.2,1.4,8,30,50
-79.63,43.68,TORONTO INTL A,6158731,2025-11-12,2025,11,12,7,1,4,14,0,0.2,0,0.2,3,28,54
-79.63,43.68,TORONTO INTL A,6158731,2025-11-13,2025,11,13,6.8,0.4,3.6,14.4,0,0,0,0,,32,50
-79.63,43.68,TORONTO INTL A,6158731,2025-11-14,2025,11,14,8.9,0.4,4.7,13.3,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-15,2025,11,15,11.3,1.7,6.5,11.5,0,2.6,0,2.6,,30,63
-79.63,43.68,TORONTO INTL A,6158731,2025-11-16,2025,11,16,8.2,-2.3,3,15,0,0,0.2,0.2,,31,84
-79.63,43.68,TORONTO INTL A,6158731,2025-11-17,2025,11,17,5,-2.8,1.1,16.9,0,0,0,0,,32,55
-79.63,43.68,TORONTO INTL A,6158731,2025-11-18,2025,11,18,6.8,-1.3,2.8,15.2,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-19,2025,11,19,6,-3.8,1.1,16.9,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-20,2025,11,20,6.5,-2.1,2.2,15.8,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-21,2025,11,21,10.7,2.7,6.7,11.3,0,0.2,0,0.2,,28,46
-79.63,43.68,TORONTO INTL A,6158731,2025-11-22,2025,11,22,5.8,0.1,3,15,0,0,0,0,,32,37
-79.63,43.68,TORONTO INTL A,6158731,2025-11-23,2025,11,23,10.1,2.7,6.4,11.6,0,0,0,0,,31,59
-79.63,43.68,TORONTO INTL A,6158731,2025-11-24,2025,11,24,8.5,-0.8,3.9,14.1,0,0,0,0,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-25,2025,11,25,9.8,4.7,7.3,10.7,0,5.2,0,5.2,,,
-79.63,43.68,TORONTO INTL A,6158731,2025-11-26,2025,11,26,11.2,1.3,6.3,11.7,0,0.6,0,0.6,,24,65
-79.63,43.68,TORONTO INTL A,6158731,2025-11-27,2025,11,27,3.4,-1,1.2,16.8,0,0,1.2,1.2,0,23,68
-79.63,43.68,TORONTO INTL A,6158731,2025-11-28,2025,11,28,3.1,-3.3,-0.1,18.1,0,0,0,0,,29,67
-79.63,43.68,TORONTO INTL A,6158731,2025-11-29,2025,11,29,1.4,-4.5,-1.6,19.6,0,0,0,0,0,14,37
-79.63,43.68,TORONTO INTL A,6158731,2025-11-30,2025,11,30,2.6,-2.2,0.2,17.8,0,1.8,5.4,7.2,5,31,59
-79.63,43.68,TORONTO INTL A,6158731,2025-12-01,2025,12,1,-1.9,-7.2,-4.6,22.6,0,0,1.8,1.6,0,31,54
-79.63,43.68,TORONTO INTL A,6158731,2025-12-02,2025,12,2,0.1,-7,-3.5,21.5,0,0,2,1.6,3,,
-79.63,43.68,TORONTO INTL A,6158731,2025-12-03,2025,12,3,2,-7.1,-2.6,20.6,0,0,0.8,0.8,1,25,52
-79.63,43.68,TORONTO INTL A,6158731,2025-12-04,2025,12,4,-1.4,-12,-6.7,24.7,0,0,0.2,0.2,1,29,63
-79.63,43.68,TORONTO INTL A,6158731,2025-12-05,2025,12,5,-0.5,-11.9,-6.2,24.2,0,0,0,0,1,25,45
-79.63,43.68,TORONTO INTL A,6158731,2025-12-06,2025,12,6,1,-1.7,-0.4,18.4,0,0,0.2,0.2,0,22,41
-79.63,43.68,TORONTO INTL A,6158731,2025-12-07,2025,12,7,-0.5,-8.1,-4.3,22.3,0,0,1.8,1.8,0,31,39
-79.63,43.68,TORONTO INTL A,6158731,2025-12-08,2025,12,8,-3.3,-12.7,-8,26,0,0,0,0,,36,39
-79.63,43.68,TORONTO INTL A,6158731,2025-12-09,2025,12,9,0.6,-9.3,-4.4,22.4,0,0.2,0.4,0.6,2,20,37
-79.63,43.68,TORONTO INTL A,6158731,2025-12-10,2025,12,10,1.2,-7.2,-3,21,0,0.2,10,9.8,5,33,74
-79.63,43.68,TORONTO INTL A,6158731,2025-12-11,2025,12,11,-5.6,-12.3,-9,27,0,0,0,0,5,30,50
-79.63,43.68,TORONTO INTL A,6158731,2025-12-12,2025,12,12,-0.8,-12.1,-6.5,24.5,0,0,0,0,5,26,50
-79.63,43.68,TORONTO INTL A,6158731,2025-12-13,2025,12,13,-1.4,-9.7,-5.6,23.6,0,0,0,0,5,28,61
-79.63,43.68,TORONTO INTL A,6158731,2025-12-14,2025,12,14,-7.2,-12.5,-9.9,27.9,0,0,0,0,5,31,39
-79.63,43.68,TORONTO INTL A,6158731,2025-12-15,2025,12,15,-4.3,-13.3,-8.8,26.8,0,0,0.2,0.2,5,26,54
-79.63,43.68,TORONTO INTL A,6158731,2025-12-16,2025,12,16,2.2,-7.1,-2.5,20.5,0,0,0,0,3,24,45
-79.63,43.68,TORONTO INTL A,6158731,2025-12-17,2025,12,17,4.3,0.2,2.3,15.7,0,0,0,0,3,28,59
-79.63,43.68,TORONTO INTL A,6158731,2025-12-18,2025,12,18,9.1,0.1,4.6,13.4,0,0,0,0,1,15,39
-79.63,43.68,TORONTO INTL A,6158731,2025-12-19,2025,12,19,9.4,-5,2.2,15.8,0,3.8,0,3.8,,28,76
-79.63,43.68,TORONTO INTL A,6158731,2025-12-20,2025,12,20,4.3,-4.6,-0.2,18.2,0,0,0,0,,23,58
-79.63,43.68,TORONTO INTL A,6158731,2025-12-21,2025,12,21,3,-5.3,-1.2,19.2,0,0,0,0,,29,76
-79.63,43.68,TORONTO INTL A,6158731,2025-12-22,2025,12,22,3.6,-7.2,-1.8,19.8,0,2.1,0.2,2.3,,25,37
-79.63,43.68,TORONTO INTL A,6158731,2025-12-23,2025,12,23,3.9,0,2,16,0,0,9.8,9.8,10,30,58
-79.63,43.68,TORONTO INTL A,6158731,2025-12-24,2025,12,24,3,-2,0.5,17.5,0,0,0,0,2,33,81
-79.63,43.68,TORONTO INTL A,6158731,2025-12-25,2025,12,25,2.5,-7.8,-2.7,20.7,0,0,0,0,,36,55
-79.63,43.68,TORONTO INTL A,6158731,2025-12-26,2025,12,26,-2.2,-9,-5.6,23.6,0,0,12,11.2,4,11,58
-79.63,43.68,TORONTO INTL A,6158731,2025-12-27,2025,12,27,-2.9,-9.3,-6.1,24.1,0,0,0,0,10,,
-79.63,43.68,TORONTO INTL A,6158731,2025-12-28,2025,12,28,2.4,-3,-0.3,18.3,0,41.2,0,41.2,8,25,45
-79.63,43.68,TORONTO INTL A,6158731,2025-12-29,2025,12,29,5.2,-8.1,-1.5,19.5,0,0.4,2,2.4,2,25,78
-79.63,43.68,TORONTO INTL A,6158731,2025-12-30,2025,12,30,-3.9,-8.1,-6,24,0,0,0,0,2,28,68
-79.63,43.68,TORONTO INTL A,6158731,2025-12-31,2025,12,31,-4,-10.8,-7.4,25.4,0,0,1.6,1.2,2,33,59
